front,back
hydrogen,H
helium,He
lithium,Li
boron,B
carbon,C
nitrogen,N
neon,Ne
sodium,Na
magnesium,Mg
aluminum,Al
phosphorus,P
sulfur,S
chlorine,Cl
argon,Ar
potassium,K
calcium,Ca
titanium,Ti
vanadium,V
chromium,Cr
manganese,Mn
cobalt,Co
nickel,Ni
copper,Cu
zinc,Zn
gallium,Ga
germanium,Ge
arsenic,As
selenium,Se
bromine,Br
krypton,Kr
rubidium,Rb
yttrium,Y
zirconium,Zr
niobium,Nb
molybdenum,Mo
technetium,Tc
ruthenium,Ru
rhodium,Rh
palladium,Pd
silver,Ag
cadmium,Cd
indium,In
tin,Sn
antimony,Sb
tellurium,Te
iodine,I
xenon,Xe
cesium,Cs
barium,Ba
lanthanum,La
cerium,Ce
praseodymium,Pr
